Name	Critic_Score	Critic_Count	User_Score	User_Count
Pro Evolution Soccer 2012	8.0		6.6	
Saints Row	8.1		7.5	
ATV Offroad Fury 2	8.2		8.9	
FIFA 15	8.2		5.4	
Tom Clancy's The Division	8.0		6.9	
Final Fantasy XIII	8.2		6.3	
The Sims: House Party	7.4		7.9	
Scribblenauts	7.9		7.6	
Sonic Unleashed	6.6		7.3	
Pokemon Ranger	6.9		7.6	
Overwatch	9.0		6.1	
Hitman: Absolution	8.3		7.5	
Call of Duty: Roads to Victory	6.4		7.5	
Dance Dance Revolution Extreme	7.7		9.0	
Final Fantasy Tactics Advance	8.7		7.8	
Your Shape featuring Jenny McCarthy	6.2		5.2	
Project Gotham Racing	8.5		8.2	
NBA 2K12	9.0		6.7	
Need for Speed: Hot Pursuit 2	8.9		8.5	
Dynasty Warriors 4	7.8		9.3	
NBA 2K14	8.4		4.9	
Parasite Eve	8.1		8.9	
Tetris DS	8.4		8.7	
Battlefield: Hardline	7.3		5.0	
Mortal Kombat	8.6		8.3	
Borderlands	8.3		7.9	
Devil May Cry 3: Dante's Awakening	8.4		9.0	
NBA 2K11	8.9		8.1	
Dying Light	7.4		7.9	
Dead Rising	8.5		7.6	
World of Warcraft: Cataclysm	9.0		5.6	
Tetris Worlds	4.4		6.2	
Final Fantasy III	7.7		7.1	
Mario Party 5	6.9		8.2	
Portal 2	9.5		8.5	
Mario Sports Mix	6.4		7.1	
Need for Speed: Most Wanted 5-1-0	7.2		7.8	
The Sims 2: Pets	4.9		5.2	
Dance Dance Revolution: Hottest Party	7.3		7.1	
DriveClub	7.1		6.1	
UFC 2009 Undisputed	8.3		7.9	
Metal Gear Solid: Peace Walker	8.9		8.9	
Kingdom Hearts: Birth by Sleep	8.2		8.6	
SoulCalibur II	9.2		8.8	
Need for Speed: ProStreet	7.2		7.1	
Sonic Mega Collection	7.5		8.8	
Need For Speed: Undercover	5.9		5.9	
SOCOM: U.S. Navy SEALs: Combined Assault	7.2		9.0	
Peter Jackson's King Kong: The Official Game of the Movie	8.2		8.2	
Need for Speed: ProStreet	7.3		6.0	
Donkey Kong Country	7.8		8.9	
Dance Central 2	8.6		8.2	
Carnival Games	4.8		3.3	
NBA Live 2004	8.6		7.7	
Call of Duty 2	8.9		8.1	
Rayman Raving Rabbids: TV Party	7.3		7.7	
Pokémon Mystery Dungeon: Blue Rescue Team	6.2		8.1	
Dark Souls	8.9		8.7	
Just Dance 3	7.0		7.7	
Battlefield 4	8.1		6.6	
Fire Emblem: Awakening	9.2		9.1	
Need for Speed: The Run	6.4		6.4	
Dragon Age: Inquisition	8.9		7.4	
Dead Space	8.8		8.8	
Mortal Kombat vs. DC Universe	7.6		7.1	
TouchMaster	7.1		5.7	
Tenchu: Stealth Assassins	8.7		8.8	
Harry Potter and the Chamber of Secrets	7.6		7.9	
Kingdom Hearts 358/2 Days	7.5		7.8	
Skate 3	8.0		7.6	
Need for Speed Rivals	8.0		6.2	
Spyro: Enter the Dragonfly	5.6		4.1	
Devil May Cry 2	6.8		6.6	
Hot Shots Golf: Open Tee	8.1		8.7	
Forza Horizon	8.5		8.4	
Tom Clancy's Rainbow Six: Vegas	8.8		8.3	
Crash Nitro Kart	6.9		7.7	
Resident Evil 6	6.7		5.0	
Grand Theft Auto: San Andreas	9.3		8.6	
