Name	NA_Sales	EU_Sales	JP_Sales	Other_Sales	Global_Sales
Jak and Daxter: The Precursor Legacy	1.664	0.8720000000000001	0.12	0.264	2.9120000000000004
Pro Evolution Soccer 2008	0.04	0.0	0.512	2.3440000000000003	2.904
Resident Evil 4	1.664	0.664	0.368	0.2	2.8960000000000004
Guitar Hero: World Tour	1.856	0.768	0.0	0.272	2.8960000000000004
FIFA Soccer 10	0.48	1.96	0.04	0.416	2.8960000000000004
Star Wars: Battlefront	1.544	0.976	0.024	0.352	2.888
The Simpsons: Road Rage	1.616	0.936	0.0	0.336	2.888
Luigi's Mansion	1.904	0.536	0.368	0.08	2.8800000000000003
Battlefield 4	1.08	1.2400000000000002	0.136	0.408	2.872
Star Wars: Battlefront II	1.7440000000000002	0.8160000000000001	0.024	0.296	2.872
Cooking Mama 2: Dinner With Friends	1.2800000000000002	1.192	0.08	0.312	2.8640000000000003
Grand Theft Auto: Liberty City Stories	1.2480000000000002	1.12	0.056	0.4	2.8320000000000003
The Getaway	0.984	1.416	0.04	0.392	2.8320000000000003
James Bond 007: Agent Under Fire	1.52	0.904	0.08	0.328	2.824
FIFA Soccer 11	0.568	1.912	0.016	0.32	2.8160000000000003
Left 4 Dead	2.128	0.392	0.04	0.24	2.808
Assassin's Creed: Unity	1.816	0.7200000000000001	0.0	0.264	2.8000000000000003
Resident Evil 5	1.688	0.7440000000000001	0.096	0.272	2.8000000000000003
Assassin's Creed: Brotherhood	2.28	0.304	0.024	0.192	2.7920000000000003
Battlefield 4	1.04	1.136	0.216	0.4	2.7920000000000003
Batman: Arkham Asylum	1.7600000000000002	0.76	0.016	0.248	2.7840000000000003
Battlefield 4	1.72	0.808	0.016	0.248	2.7840000000000003
Battlefield: Bad Company 2	1.6800000000000002	0.808	0.032	0.256	2.776
Guitar Hero: On Tour	1.6800000000000002	0.808	0.008	0.2799999999999999	2.768
Clubhouse Games	0.472	1.4320000000000002	0.584	0.272	2.76
Borderlands	1.92	0.568	0.024	0.2319999999999999	2.752
Tekken 4	1.2400000000000002	1.016	0.264	0.2319999999999999	2.752
Grand Theft Auto 2	0.904	1.656	0.0	0.176	2.736
Metal Gear Solid V: The Phantom Pain	0.8720000000000001	1.088	0.392	0.384	2.728
Spider-Man 2	1.4	0.96	0.016	0.344	2.728
FIFA Soccer 2003	0.368	1.824	0.04	0.488	2.72
LittleBigPlanet 2	1.4640000000000002	0.8400000000000001	0.048	0.368	2.712
Crash Bash	1.2480000000000002	1.176	0.152	0.136	2.712
Assassin's Creed Syndicate	0.6480000000000001	1.592	0.056	0.416	2.712
LEGO Batman: The Videogame	1.632	0.8160000000000001	0.0	0.256	2.704
Destiny	1.7120000000000002	0.7360000000000001	0.0	0.248	2.696
Far Cry 3	0.7040000000000001	1.36	0.08	0.536	2.68
James Bond 007: Nightfire	1.16	1.032	0.096	0.368	2.664
Star Wars Episode III: Revenge of the Sith	1.176	1.112	0.024	0.344	2.656
The Legend of Zelda: Spirit Tracks	1.12	0.7280000000000001	0.592	0.208	2.648
Max Payne	1.592	0.8400000000000001	0.04	0.176	2.648
Assassin's Creed IV: Black Flag	1.52	0.8880000000000001	0.008	0.2319999999999999	2.64
The Lord of the Rings: The Return of the King	1.2000000000000002	1.024	0.04	0.368	2.624
Gears of War: Ultimate Edition	2.088	0.264	0.0	0.272	2.624
True Crime: Streets of LA	1.512	0.8400000000000001	0.016	0.248	2.616
Professor Layton and the Unwound Future	0.48	1.2560000000000002	0.656	0.216	2.608
FIFA 16	0.7120000000000001	1.6960000000000002	0.0	0.192	2.6
Wii Music	1.08	0.8880000000000001	0.368	0.256	2.6
Madden NFL 16	1.872	0.24	0.0	0.48	2.5920000000000005
Gran Turismo 6	0.576	1.336	0.32	0.352	2.584
Halo: The Master Chief Collection	1.528	0.8	0.024	0.2319999999999999	2.584
Super Mario Maker	0.944	0.7120000000000001	0.752	0.16	2.568
God of War: Chains of Olympus	1.184	0.8	0.032	0.528	2.5440000000000005
Enter the Matrix	1.4240000000000002	0.8960000000000001	0.072	0.152	2.5440000000000005
Crisis Core: Final Fantasy VII	1.08	0.472	0.6400000000000001	0.344	2.5440000000000005
Dance Central	1.72	0.6080000000000001	0.008	0.208	2.536
L.A. Noire	1.016	1.032	0.096	0.392	2.536
Ace Combat 04: Shattered Skies	1.648	0.448	0.304	0.136	2.536
Animal Crossing	1.536	0.128	0.792	0.072	2.52
FIFA Soccer 08	0.544	0.0	0.0	1.968	2.5120000000000005
Spider-Man	1.36	1.0	0.016	0.128	2.504
Mario Party 9	0.8480000000000001	0.8720000000000001	0.6080000000000001	0.176	2.504
Sonic Rush	0.968	1.2480000000000002	0.048	0.2319999999999999	2.4960000000000004
Rhythm Heaven	0.44	0.4	1.544	0.104	2.488
Fallout: New Vegas	1.2160000000000002	0.8240000000000001	0.08	0.368	2.488
Personal Trainer: Cooking	0.7200000000000001	0.8	0.8240000000000001	0.136	2.488
The Elder Scrolls IV: Oblivion	1.352	0.68	0.112	0.344	2.4800000000000004
The Legend of Zelda: A Link Between Worlds	1.12	0.808	0.368	0.184	2.4800000000000004
Resident Evil 6	0.7040000000000001	0.752	0.7040000000000001	0.32	2.4800000000000004
Mass Effect 2	1.592	0.6480000000000001	0.024	0.216	2.4800000000000004
Dragon Ball Z: Budokai	1.736	0.224	0.44	0.064	2.472
Madden NFL 2002	2.0	0.128	0.008	0.336	2.4640000000000004
The Sims: Vacation	1.376	0.968	0.0	0.112	2.456
Animal Crossing: Happy Home Designer	0.408	0.8160000000000001	1.12	0.096	2.44
The Sims 4	0.8	1.4560000000000002	0.0	0.184	2.44
Borderlands 2	1.512	0.7040000000000001	0.032	0.2	2.44
LEGO Batman: The Videogame	1.4	0.808	0.0	0.2319999999999999	2.44
Kung Fu Panda	1.528	0.672	0.0	0.2319999999999999	2.4320000000000004
Mass Effect 3	1.552	0.672	0.024	0.192	2.4320000000000004
Heavy Rain	1.032	0.968	0.048	0.376	2.424
Saints Row 2	1.552	0.6320000000000001	0.016	0.224	2.424
