Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
4,2007.0,0,60,1.4800000000000002,1.4400000000000002,0.76,0.384,4.064,9.0,8,0
2,2010.0,1,26,0.488,2.624,0.048,0.8960000000000001,4.056,8.9,8,0
12,1996.0,0,98,1.64,0.928,0.8880000000000001,0.584,4.04,9.1,9,2
8,2006.0,0,89,1.36,1.592,0.128,0.944,4.024,8.6,8,2
12,1999.0,1,3,2.736,1.104,0.016,0.16,4.016,9.2,9.2,1
0,2007.0,5,3,2.7920000000000003,0.008,0.008,1.184,3.984,8.2,8.2,1
7,2007.0,2,60,2.44,0.936,0.2319999999999999,0.368,3.984,6.8,7.1,1
1,2008.0,3,11,2.72,0.792,0.072,0.36,3.944,9.3,8.5,2
2,2007.0,0,76,1.848,1.376,0.096,0.6160000000000001,3.936,8.8,8.1,1
0,2005.0,1,26,3.184,0.208,0.008,0.528,3.928,8.8,8,0
6,2010.0,10,3,2.056,1.344,0.0,0.4639999999999999,3.872,9.3,8.2,1
2,2007.0,9,94,1.528,1.6,0.072,0.656,3.856,8.1,7.3,2
2,2010.0,0,76,2.192,1.064,0.096,0.488,3.84,9.2,8.7,2
12,1999.0,4,76,2.056,1.2560000000000002,0.352,0.168,3.832,8.8,9,0
4,2007.0,0,48,2.264,1.184,0.0,0.36,3.808,8.0,5.4,0
12,2000.0,0,7,1.888,1.6800000000000002,0.016,0.2,3.7840000000000007,6.2,7.7,1
1,2011.0,0,100,2.3920000000000003,1.016,0.032,0.336,3.7840000000000007,9.4,8.7,1
12,2000.0,1,3,2.44,1.128,0.016,0.16,3.744,9.8,7.7,1
0,2002.0,0,26,1.552,1.56,0.064,0.5599999999999999,3.736,8.2,8.2,1
12,1996.0,0,25,1.832,1.576,0.104,0.192,3.704,9.1,8.6,1
7,2008.0,8,60,1.4560000000000002,0.8960000000000001,1.056,0.288,3.696,7.3,7.6,0
11,2015.0,0,76,1.656,1.368,0.064,0.6080000000000001,3.696,8.6,8.1,1
9,2002.0,0,60,2.08,0.792,0.7120000000000001,0.104,3.68,9.6,8.9,0
7,2007.0,5,3,2.4320000000000004,0.8880000000000001,0.0,0.344,3.68,8.6,8.4,1
13,2013.0,0,60,1.4400000000000002,1.112,0.8880000000000001,0.2319999999999999,3.672,8.6,8.4,0
1,2011.0,4,54,1.664,1.576,0.048,0.368,3.6560000000000006,9.1,8.2,0
0,2004.0,1,26,3.344,0.208,0.008,0.064,3.624000000000001,9.1,7.9,0
1,2007.0,5,3,2.552,0.7280000000000001,0.008,0.336,3.624000000000001,8.5,7.9,1
0,2006.0,1,26,2.904,0.192,0.008,0.488,3.5920000000000005,8.4,8.2,0
14,2015.0,2,54,2.224,1.016,0.024,0.328,3.5840000000000005,8.4,6.4,1
0,2002.0,0,3,2.168,1.2080000000000002,0.024,0.184,3.5840000000000005,7.6,7.9,0
11,2016.0,2,3,1.2880000000000005,1.6,0.12,0.568,3.568,7.7,3.4,2
0,2005.0,0,76,2.168,1.032,0.016,0.344,3.5600000000000005,9.4,8.9,2
16,2015.0,2,60,1.2320000000000002,0.944,1.168,0.208,3.544,8.1,8.5,3
16,2012.0,5,60,2.016,0.8880000000000001,0.368,0.264,3.536,7.7,7.9,3
0,2001.0,1,3,2.128,1.032,0.008,0.368,3.5280000000000005,9.7,7.5,1
0,2006.0,1,47,0.08,1.912,0.8400000000000001,0.6880000000000001,3.512,8.6,8.9,0
1,2006.0,3,89,2.256,0.8240000000000001,0.104,0.32,3.504,9.4,8.7,2
0,2005.0,4,26,1.624,1.4320000000000002,0.064,0.376,3.4960000000000004,8.2,9.1,1
7,2010.0,5,94,2.112,1.064,0.008,0.312,3.4880000000000004,5.6,8.3,3
2,2006.0,2,76,1.392,1.376,0.112,0.6000000000000001,3.472,8.6,8.1,2
0,2005.0,3,81,1.7600000000000002,0.4639999999999999,1.104,0.136,3.4640000000000004,8.7,9,3
16,2013.0,6,60,1.688,0.928,0.584,0.256,3.4560000000000004,9.3,9,0
1,2008.0,3,54,2.008,0.992,0.088,0.328,3.416,8.9,6.5,2
10,2001.0,5,58,2.4000000000000004,0.8880000000000001,0.04,0.056,3.3920000000000003,7.9,7.3,0
2,2009.0,0,25,1.7920000000000005,1.048,0.056,0.488,3.3840000000000003,9.1,8.9,1
0,2004.0,0,47,1.168,0.0,0.664,1.544,3.3840000000000003,9.1,9.3,2
2,2011.0,0,94,1.128,1.608,0.08,0.5599999999999999,3.376,8.0,7.5,2
14,2015.0,3,11,2.008,1.056,0.008,0.304,3.376,8.8,6.2,2
1,2013.0,1,26,0.7360000000000001,2.3120000000000003,0.008,0.32,3.376,8.4,4.2,0
8,2006.0,6,76,1.96,0.808,0.0,0.6000000000000001,3.3680000000000003,8.5,8.7,3
0,2005.0,1,26,0.6240000000000001,2.04,0.032,0.672,3.3680000000000003,8.0,7.8,0
0,2003.0,5,76,0.7040000000000001,1.84,0.16,0.664,3.3600000000000003,8.0,7.5,0
2,2007.0,4,76,1.024,1.4560000000000002,0.4559999999999999,0.416,3.3520000000000003,8.0,7.1,0
1,2011.0,0,94,1.8,1.176,0.032,0.344,3.3520000000000003,8.0,7.2,2
2,2009.0,7,14,1.624,0.8320000000000001,0.4639999999999999,0.416,3.3280000000000003,9.4,7.3,1
0,2002.0,1,26,2.688,0.168,0.008,0.448,3.312,9.5,7.7,0
6,1997.0,2,99,3.224,0.0,0.072,0.0,3.2960000000000003,9.6,9.1,2
6,2007.0,3,3,2.056,1.2160000000000002,0.0,0.0,3.272,9.1,7.9,1
11,2016.0,2,26,0.8800000000000001,1.72,0.168,0.488,3.264,8.8,8.4,2
0,2007.0,0,76,1.856,0.032,0.032,1.336,3.256,9.3,8.9,2
1,2010.0,3,11,2.128,0.8240000000000001,0.032,0.264,3.24,8.4,8.1,2
1,2007.0,4,54,1.88,1.016,0.024,0.328,3.24,9.0,8.3,0
7,2007.0,5,89,1.6960000000000002,1.176,0.04,0.336,3.24,5.6,6,0
11,2014.0,0,94,1.12,1.52,0.088,0.512,3.24,8.0,6.3,2
0,2000.0,7,58,1.344,1.2080000000000002,0.408,0.2799999999999999,3.24,8.5,8.5,1
11,2014.0,2,94,0.904,1.7440000000000002,0.08,0.504,3.232,8.5,7.7,2
0,2005.0,5,58,1.664,1.08,0.0,0.432,3.184,6.1,tbd,3
1,2009.0,2,26,2.136,0.6960000000000001,0.04,0.304,3.176,8.9,8.6,2
11,2015.0,3,58,0.8160000000000001,1.704,0.184,0.472,3.176,9.2,9.2,2
11,2014.0,0,94,0.952,1.656,0.064,0.496,3.168,7.0,4.9,2
11,2015.0,0,100,1.2240000000000002,1.352,0.08,0.512,3.16,8.7,7.6,2
7,2011.0,0,60,1.624,0.928,0.296,0.304,3.16,9.3,8,3
2,2008.0,3,11,1.72,0.904,0.056,0.472,3.152,9.0,8,2
4,2007.0,11,60,0.7200000000000001,1.408,0.7360000000000001,0.296,3.152,8.4,8.8,3
7,2009.0,1,26,1.672,1.08,0.048,0.32,3.12,8.1,8.7,0
0,2003.0,1,3,1.832,0.936,0.008,0.336,3.12,9.0,8.7,1
13,2014.0,3,60,0.544,0.384,2.096,0.088,3.112,8.6,8.7,1
6,2011.0,3,11,0.928,1.6960000000000002,0.0,0.48,3.104,9.4,8.1,2
11,2015.0,1,89,1.992,0.528,0.024,0.5519999999999999,3.104,8.7,6.7,3
0,2005.0,7,58,0.7440000000000001,1.552,0.248,0.5599999999999999,3.096,8.8,8.6,1
2,2006.0,4,76,1.2240000000000002,1.2800000000000002,0.048,0.536,3.096,8.4,7.4,1
0,2004.0,1,47,0.128,1.512,0.8960000000000001,0.544,3.08,9.1,9.1,0
2,2010.0,1,76,1.704,0.8960000000000001,0.08,0.4,3.072,7.6,7.9,3
11,2013.0,2,3,1.4240000000000002,1.144,0.04,0.4559999999999999,3.064,7.8,3.7,2
4,2007.0,5,60,0.6880000000000001,1.2480000000000002,0.8400000000000001,0.2799999999999999,3.064,5.9,4,0
11,2016.0,2,94,1.08,1.36,0.12,0.48,3.04,8.0,7,2
7,2007.0,5,60,0.8400000000000001,1.528,0.328,0.336,3.032,6.8,6.9,0
1,2008.0,0,3,1.92,0.808,0.0,0.288,3.008,7.7,7.5,3
6,2002.0,8,26,1.624,1.2480000000000002,0.0,0.136,3.008,7.9,8,1
12,2001.0,0,26,1.096,1.6,0.112,0.176,2.984,6.4,7.5,0
7,2007.0,6,60,1.56,0.6880000000000001,0.472,0.248,2.968,8.5,7.9,0
12,2000.0,6,76,1.544,1.2640000000000002,0.0,0.152,2.968,9.1,8.8,0
2,2013.0,0,94,1.064,1.344,0.104,0.4559999999999999,2.968,8.8,8.1,2
0,2004.0,1,26,0.4639999999999999,1.984,0.032,0.472,2.9600000000000004,8.1,7.6,0
0,2002.0,1,3,1.704,0.944,0.008,0.2799999999999999,2.936,9.4,8.5,1
4,2007.0,8,26,1.2640000000000002,1.2720000000000002,0.064,0.328,2.9280000000000004,6.7,7.3,0
8,2005.0,4,89,1.32,0.968,0.0,0.6320000000000001,2.92,7.4,8.4,3
0,2002.0,2,76,2.024,0.6480000000000001,0.048,0.192,2.92,8.2,7.9,2
0,2001.0,6,76,1.664,0.8720000000000001,0.12,0.264,2.9120000000000004,9.0,8.7,0
0,2007.0,1,47,0.04,0.0,0.512,2.3440000000000003,2.904,8.2,7.9,0
0,2005.0,0,14,1.664,0.664,0.368,0.2,2.8960000000000004,9.6,8.9,2
7,2008.0,5,3,1.856,0.768,0.0,0.272,2.8960000000000004,8.6,7.6,1
2,2009.0,1,26,0.48,1.96,0.04,0.416,2.8960000000000004,9.1,7.6,0
0,2004.0,2,48,1.544,0.976,0.024,0.352,2.888,8.2,8.7,1
0,2001.0,4,26,1.616,0.936,0.0,0.336,2.888,6.4,7.7,1
9,2001.0,0,60,1.904,0.536,0.368,0.08,2.8800000000000003,7.8,8.5,0
11,2013.0,2,26,1.08,1.2400000000000002,0.136,0.408,2.872,8.5,6.9,2
0,2005.0,2,48,1.7440000000000002,0.8160000000000001,0.024,0.296,2.872,8.4,9,1
4,2007.0,8,1,1.2800000000000002,1.192,0.08,0.312,2.8640000000000003,7.0,8,0
0,2006.0,0,89,1.2480000000000002,1.12,0.056,0.4,2.8320000000000003,7.8,7.8,2
0,2002.0,0,76,0.984,1.416,0.04,0.392,2.8320000000000003,7.2,6.8,2
0,2001.0,2,26,1.52,0.904,0.08,0.328,2.824,7.2,7.9,1
1,2010.0,1,26,0.568,1.912,0.016,0.32,2.8160000000000003,8.8,7.5,0
1,2008.0,2,26,2.128,0.392,0.04,0.24,2.808,8.9,7.9,2
