Name	Platform	Year_of_Release	Genre	Publisher	Developer	Rating
Dragon Ball Z: Budokai Tenkaichi 3	PS2	2007.0	Fighting	Atari		T
The Sims: Livin Large	PC	2000.0	Misc	Electronic Arts		T
World Soccer Winning Eleven 6 International	PS2	2002.0	Sports	Konami Digital Entertainment		E
Devil May Cry	PS2	2001.0	Action	Capcom		M
Star Wars: The Old Republic	PC	2011.0	Role-Playing	Electronic Arts		T
Middle-Earth: Shadow of Mordor	PS4	2014.0	Action	Warner Bros. Interactive Entertainment		M
Sonic Heroes	PS2	2003.0	Platform	Sega		E
Hitman 2: Silent Assassin	PS2	2002.0	Action	Eidos Interactive		M
Titanfall	XOne	2014.0	Shooter	Electronic Arts		M
Battlefield: Bad Company 2	PS3	2010.0	Shooter	Electronic Arts		M
SOCOM II: U.S. Navy SEALs	PS2	2003.0	Shooter	Sony Computer Entertainment		M
Pac-Man Collection	GBA	2001.0	Puzzle	Atari		E
Street Fighter IV	X360	2009.0	Fighting	Capcom		T
inFAMOUS	PS3	2009.0	Action	Sony Computer Entertainment		T
Kirby Super Star Ultra	DS	2008.0	Platform	Nintendo		E
Call of Duty: Ghosts	XOne	2013.0	Shooter	Activision		M
Mass Effect	X360	2007.0	Role-Playing	Microsoft Game Studios		M
Sonic Mega Collection Plus	PS2	2004.0	Misc	Sega		E
World Soccer Winning Eleven 7 International	PS2	2003.0	Sports	Konami Digital Entertainment		E
Sega Superstars Tennis	X360	2008.0	Sports	Sega		E10+
Hot Shots Golf 3	PS2	2001.0	Sports	Sony Computer Entertainment		E
Cooking Mama: Cook Off	Wii	2007.0	Simulation	505 Games		E
Call of Duty: Finest Hour	PS2	2004.0	Shooter	Activision		T
WarioWare: Smooth Moves	Wii	2006.0	Puzzle	Nintendo		E10+
Madden NFL 13	X360	2012.0	Sports	Electronic Arts		E
The Elder Scrolls III: Morrowind	XB	2002.0	Role-Playing	Ubisoft		T
Assassin's Creed IV: Black Flag	PS4	2013.0	Action	Ubisoft		M
Mortal Kombat	PS3	2011.0	Fighting	Warner Bros. Interactive Entertainment		M
Madden NFL 10	X360	2009.0	Sports	Electronic Arts		E
BioShock	X360	2007.0	Shooter	Take-Two Interactive		M
Metroid Prime	GC	2002.0	Shooter	Nintendo		T
Assassin's Creed: Brotherhood	PS3	2010.0	Action	Ubisoft		M
Medal of Honor	PS3	2010.0	Shooter	Electronic Arts		M
inFAMOUS: Second Son	PS4	2014.0	Action	Sony Computer Entertainment		T
NBA Street	PS2	2001.0	Sports	Electronic Arts		E
Jak II	PS2	2003.0	Platform	Sony Computer Entertainment		T
Need for Speed: Hot Pursuit	PS3	2010.0	Racing	Electronic Arts		E10+
Skylanders: Spyro's Adventure	Wii	2011.0	Action	Activision		E10+
Battlefield 3	PC	2011.0	Shooter	Electronic Arts		M
Mortal Kombat X	PS4	2015.0	Fighting	Warner Bros. Interactive Entertainment		M
The Sims	PS2	2003.0	Simulation	Electronic Arts		T
Killzone 3	PS3	2011.0	Shooter	Sony Computer Entertainment		M
Star Wars: The Force Unleashed	X360	2008.0	Action	LucasArts		T
Yoshi's Island DS	DS	2006.0	Platform	Nintendo		E
Saints Row: The Third	X360	2011.0	Action	THQ		M
Tekken 6	PS3	2009.0	Fighting	Namco Bandai Games		T
Sonic and the Secret Rings	Wii	2007.0	Platform	Sega		E
The Legend of Zelda: A Link to the Past	GBA	2002.0	Action	Nintendo		E
Onimusha: Warlords	PS2	2001.0	Action	Virgin Interactive		M
L.A. Noire	X360	2011.0	Adventure	Take-Two Interactive		M
Call of Duty 3	X360	2006.0	Shooter	Activision		T
Madden NFL 12	X360	2011.0	Sports	Electronic Arts		E
LEGO Star Wars II: The Original Trilogy	PS2	2006.0	Action	LucasArts		E10+
Killzone: Shadow Fall	PS4	2013.0	Shooter	Sony Computer Entertainment		M
Madden NFL 11	X360	2010.0	Sports	Electronic Arts		E
Burnout 3: Takedown	PS2	2004.0	Racing	Electronic Arts		T
Mario vs. Donkey Kong: Mini-Land Mayhem!	DS	2010.0	Puzzle	Nintendo		E
Professor Layton and the Last Specter	DS	2009.0	Puzzle	Nintendo		E10+
Call Of Duty 2: Big Red One	PS2	2005.0	Shooter	Activision		T
Medal of Honor	PS	1998.0	Shooter	Electronic Arts		T
Fable	XB	2004.0	Role-Playing	Microsoft Game Studios		M
Guitar Hero: World Tour	X360	2008.0	Misc	Activision		T
FIFA 17	XOne	2016.0	Sports	Electronic Arts		E
Tom Clancy's Splinter Cell	PS2	2003.0	Action	Ubisoft		T
Need for Speed: Shift	PS3	2009.0	Racing	Electronic Arts		E
Medal of Honor Heroes	PSP	2006.0	Shooter	Electronic Arts		T
Final Fantasy XIII-2	PS3	2011.0	Role-Playing	Square Enix		T
Midnight Club: Street Racing	PS2	2000.0	Racing	Take-Two Interactive		T
Skate 3	X360	2010.0	Sports	Electronic Arts		T
ESPN NFL 2K5	PS2	2004.0	Sports	Sega		E
Halo Wars	X360	2009.0	Strategy	Microsoft Game Studios		T
NBA 2K12	X360	2011.0	Sports	Take-Two Interactive		E
FIFA Soccer 10	X360	2009.0	Sports	Electronic Arts		E
Medal of Honor	X360	2010.0	Shooter	Electronic Arts		M
